year,rate
1,0.004991184
2,0.007087386
3,0.007795863
4,0.008211293
5,0.008583149
6,0.008982188
7,0.009422643
8,0.009894193
9,0.010375124
10,0.010841746
11,0.011274469
12,0.011661064
13,0.011995987
14,0.012278307
15,0.012510513
16,0.012696925
17,0.012841864
18,0.012949272
19,0.013021936
20,0.013061736
21,0.013070181
22,0.013048726
23,0.012999001
24,0.012923023
25,0.012823285
26,0.01270269
27,0.012564353
28,0.01241123
29,0.012245914
30,0.012070592
31,0.01188723
32,0.011697783
33,0.011504321
34,0.011309034
35,0.011114203
36,0.010922123
37,0.010734979
38,0.01055459
39,0.010382351
40,0.010219189
41,0.010219189
42,0.010219189
43,0.010219189
44,0.010219189
45,0.010219189
46,0.010219189
47,0.010219189
48,0.010219189
49,0.010219189
50,0.010219189
51,0.010219189
52,0.010219189
53,0.010219189
54,0.010219189
55,0.010219189
56,0.010219189
57,0.010219189
58,0.010219189
59,0.010219189
60,0.010219189
61,0.010219189
62,0.010219189
63,0.010219189
64,0.010219189
65,0.010219189
66,0.010219189
67,0.010219189
68,0.010219189
69,0.010219189
70,0.010219189
71,0.010219189
72,0.010219189
73,0.010219189
74,0.010219189
75,0.010219189
76,0.010219189
77,0.010219189
78,0.010219189
79,0.010219189
80,0.010219189
81,0.010219189
82,0.010219189
83,0.010219189
84,0.010219189
85,0.010219189
86,0.010219189
87,0.010219189
88,0.010219189
89,0.010219189
90,0.010219189
91,0.010219189
92,0.010219189
93,0.010219189
94,0.010219189
95,0.010219189
96,0.010219189
97,0.010219189
98,0.010219189
99,0.010219189
100,0.010219189
101,0.010219189
102,0.010219189
103,0.010219189
104,0.010219189
105,0.010219189
106,0.010219189
107,0.010219189
108,0.010219189
109,0.010219189
110,0.010219189
111,0.010219189
112,0.010219189
113,0.010219189
114,0.010219189
115,0.010219189
116,0.010219189
117,0.010219189
118,0.010219189
119,0.010219189
120,0.010219189
121,0.010219189
122,0.010219189
123,0.010219189
124,0.010219189
125,0.010219189
126,0.010219189
127,0.010219189
128,0.010219189
129,0.010219189
130,0.010219189
131,0.010219189
132,0.010219189
133,0.010219189
134,0.010219189
135,0.010219189
136,0.010219189
137,0.010219189
138,0.010219189
139,0.010219189
140,0.010219189
141,0.010219189
142,0.010219189
143,0.010219189
144,0.010219189
145,0.010219189
146,0.010219189
147,0.010219189
148,0.010219189
149,0.010219189
150,0.010219189
